Price,Use,Transmission,Body,Fuel,Year,Mileage (km),Drivetrain,Horse Power,Engine Size (l),Make,Model,Source,Horsepower
950000.0,Foreign Used,Automatic,Pickup,Petrol,2021,15200.0,All-Wheel Drive,395.0,5.7,Dodge,RAM,Tonaton,395.0
46500.0,Foreign Used,Automatic,Sedan,Petrol,2007,74000.0,Front-Wheel Drive,140.0,2.0,Kia,Spectra,Tonaton,140.0
410000.0,Foreign Used,Automatic,SUV,Petrol,2020,26887.0,All-Wheel Drive,272.0,2.0,Acura,RDX,Tonaton,272.0
180000.0,Foreign Used,Automatic,Sedan,Petrol,2016,50000.0,Rear-Wheel Drive,241.0,2.0,Mercedes-Benz,C300,Tonaton,241.0
63500.0,Ghanaian Used,Automatic,Sedan,Petrol,2008,,Front-Wheel Drive,128.0,1.8,Toyota,Corolla,Tonaton,128.0
485000.0,Foreign Used,Automatic,,Petrol,2021,,,,3.5,Honda,Pilot,Tonaton,280.0
390000.0,Foreign Used,Automatic,SUV,Petrol,2021,,Front-Wheel Drive,190.0,1.5,Honda,CR-V,Tonaton,190.0
370000.0,Foreign Used,Automatic,SUV,Petrol,2020,,Front-Wheel Drive,190.0,1.5,Honda,CR-V,Tonaton,190.0
450000.0,Foreign Used,Automatic,Pickup,Petrol,2019,,Four-Wheel Drive,395.0,5.0,Ford,F-150,Tonaton,395.0
95000.0,Foreign Used,Automatic,Van/Minivan,Petrol,2011,58649.0,All-Wheel Drive,163.0,2.4,Toyota,Mark X Zio,Tonaton,163.0
360000.0,Foreign Used,Automatic,Pickup,Petrol,2018,20389.0,Four-Wheel Drive,381.0,5.7,Toyota,Tundra,Tonaton,381.0
305000.0,Foreign Used,Automatic,SUV,Petrol,2021,22388.0,Front-Wheel Drive,190.0,1.5,Honda,CR-V,Tonaton,190.0
290000.0,Foreign Used,Automatic,,Petrol,2020,20000.0,,,2.5,Mazda,CX-5,Tonaton,187.0
192000.0,Foreign Used,Automatic,SUV,Petrol,2018,101020.0,,176.0,2.5,Toyota,RAV4,Tonaton,176.0
385000.0,Foreign Used,Automatic,,Petrol,2021,,,,3.5,Toyota,Tacoma,Tonaton,278.0
170000.0,Foreign Used,Automatic,SUV,Petrol,2015,,Front-Wheel Drive,,2.5,Toyota,RAV4,Tonaton,176.0
290000.0,Foreign Used,Automatic,,Petrol,2020,3254.0,,,1.5,Honda,CR-V,Tonaton,190.0
195000.0,Ghanaian Used,Automatic,,Petrol,2014,,,,3.0,Land Rover,Range Rover Sport,Tonaton,340.0
385000.0,Foreign Used,Automatic,,Petrol,2019,,,,2.0,Mercedes-Benz,GLC-Class,Tonaton,
63000.0,Ghanaian Used,Automatic,Hatchback,Petrol,2013,,All-Wheel Drive,148.0,2.0,Subaru,Impreza,Tonaton,148.0
82000.0,Ghanaian Used,Automatic,,Petrol,2013,,Front-Wheel Drive,,2.4,Kia,Sportage,Tonaton,182.0
160000.0,Foreign Used,Automatic,SUV,Petrol,2015,68210.0,All-Wheel Drive,,2.5,Toyota,RAV4,Tonaton,176.0
140000.0,Foreign Used,Automatic,SUV,Petrol,2013,,All-Wheel Drive,176.0,2.4,Hyundai,Tucson,Tonaton,176.0
70000.0,Ghanaian Used,Automatic,Sedan,Petrol,2011,,All-Wheel Drive,268.0,3.5,Mercedes-Benz,E350,Tonaton,268.0
705000.0,Foreign Used,Automatic,SUV,Petrol,2020,22100.0,All-Wheel Drive,295.0,3.5,Lexus,RX,Tonaton,295.0
